episode,reward,avg10,epsilon,states,transitions
545,-600.0,-600.0,0.0866,1841,265112
546,-600.0,-600.0,0.0862,1841,265612
547,-600.0,-600.0,0.0858,1841,266112
548,-600.0,-600.0,0.0853,1841,266612
549,-600.0,-600.0,0.0849,1841,267112
550,-600.0,-600.0,0.0845,1841,267612
551,-600.0,-600.0,0.0841,1841,268112
552,-600.0,-600.0,0.0836,1841,268612
553,-600.0,-600.0,0.0832,1841,269112
554,-600.0,-600.0,0.0828,1841,269612
555,-600.0,-600.0,0.0824,1841,270112
556,-600.0,-600.0,0.082,1841,270612
557,-600.0,-600.0,0.0816,1841,271112
558,-600.0,-600.0,0.0812,1841,271612
559,-600.0,-600.0,0.0808,1841,272112
560,-600.0,-600.0,0.0804,1841,272612
561,-600.0,-600.0,0.08,1841,273112
562,-600.0,-600.0,0.08,1841,273612
563,-600.0,-600.0,0.08,1841,274112
564,-600.0,-600.0,0.08,1841,274612
565,-600.0,-600.0,0.08,1841,275112
566,-600.0,-600.0,0.08,1841,275612
567,-600.0,-600.0,0.08,1841,276112
568,-600.0,-600.0,0.08,1841,276612
569,-600.0,-600.0,0.08,1841,277112
570,-600.0,-600.0,0.08,1841,277612
571,-600.0,-600.0,0.08,1841,278112
572,-600.0,-600.0,0.08,1841,278612
573,-600.0,-600.0,0.08,1841,279112
574,-600.0,-600.0,0.08,1841,279612
575,-600.0,-600.0,0.08,1841,280112
576,-600.0,-600.0,0.08,1841,280612
577,-600.0,-600.0,0.08,1841,281112
578,-600.0,-600.0,0.08,1841,281612
579,-600.0,-600.0,0.08,1841,282112
580,-600.0,-600.0,0.08,1841,282612
581,-600.0,-600.0,0.1194,1841,283112
582,-600.0,-600.0,0.1188,1841,283612
583,-600.0,-600.0,0.1182,1841,284112
584,-600.0,-600.0,0.1176,1841,284612
585,-600.0,-600.0,0.117,1841,285112
586,-600.0,-600.0,0.1164,1841,285612
587,-600.0,-600.0,0.1159,1841,286112
588,-600.0,-600.0,0.1153,1841,286612
589,-600.0,-600.0,0.1147,1841,287112
590,-600.0,-600.0,0.1141,1841,287612
591,-600.0,-600.0,0.1136,1841,288112
592,-600.0,-600.0,0.113,1841,288612
593,-600.0,-600.0,0.1124,1841,289112
594,-600.0,-600.0,0.1119,1841,289612
595,-600.0,-600.0,0.1113,1841,290112
596,-600.0,-600.0,0.1108,1841,290612
597,-600.0,-600.0,0.1102,1841,291112
598,-600.0,-600.0,0.1096,1841,291612
599,-600.0,-600.0,0.1091,1841,292112
600,-600.0,-600.0,0.1086,1841,292612
601,-600.0,-600.0,0.108,1841,293112
602,-600.0,-600.0,0.1075,1841,293612
603,-600.0,-600.0,0.1069,1841,294112
604,-600.0,-600.0,0.1064,1841,294612
605,-600.0,-600.0,0.1059,1841,295112
606,-600.0,-600.0,0.1053,1841,295612
607,-600.0,-600.0,0.1048,1841,296112
608,-600.0,-600.0,0.1043,1841,296612
609,-600.0,-600.0,0.1038,1841,297112
610,-600.0,-600.0,0.1032,1841,297612
611,-600.0,-600.0,0.1027,1841,298112
612,-600.0,-600.0,0.1022,1841,298612
613,-600.0,-600.0,0.1017,1841,299112
614,-600.0,-600.0,0.1012,1841,299612
615,-600.0,-600.0,0.1007,1841,300112
616,-600.0,-600.0,0.1002,1841,300612
617,-600.0,-600.0,0.0997,1841,301112
618,-600.0,-600.0,0.0992,1841,301612
619,-600.0,-600.0,0.0987,1841,302112
620,-600.0,-600.0,0.0982,1841,302612
